"key","Packagesize","Price","Price_per_unit","Product_image","Product_title"
"","ea","$5.99","$1.50 per 100ml","https://www.aldi.com.au/fileadmin/_processed_/f/f/csm_1001272_ALN_JULY-SSV__B1__1x1_228x128_25_aee06f1a01.jpg","Protane Argan Oil or Coconut Milk Conditioner 400ml"
"","ea","$4.99","$1.00 per 100ml","https://www.aldi.com.au/fileadmin/_processed_/7/8/csm_ALN3708_Q4-WEB_NEW-1x1_228x128_11_8f43279a7e.jpg","Verde Hand Wash 500ml"
"","1kg","$4.19","$4.19 per kg","https://www.aldi.com.au/fileadmin/_processed_/a/2/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128_2_a10d03312c.jpg","Market Fare Frozen Corn Kernels 1kg"
"","ea","$8.49","85c per 100ml","https://www.aldi.com.au/fileadmin/_processed_/3/5/csm_ALN3708_Q4-WEB_NEW-1x1_228x128_12_c3bd52b061.jpg","Verde Hand Wash Refill 1L"
"","ea","$2.99","$1.20 per 100ml","https://www.aldi.com.au/fileadmin/_processed_/3/6/csm_1002179-1_Q2_WEB_AUDIT_1x1_228x128_38_RET_7ad0b4f241.png","Tricare Instant Hand Sanitiser 250ml"
"","1kg","$2.59","$2.59 per kg","https://www.aldi.com.au/fileadmin/_processed_/4/a/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128_3_d7488acded.jpg","Market Fare Garden Frozen Peas 1kg"
"","1kg","$4.49","$4.49 per kg","https://www.aldi.com.au/fileadmin/_processed_/3/3/csm_1001605-7_1x1_Q4_WEB-AUDIT_FREEZER_228x128_1_319014cbbc.jpg","Market Fare Baby Peas 1kg"
"","1kg","$4.19","$4.19 per kg","https://www.aldi.com.au/fileadmin/_processed_/a/b/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128_4_fff169ddd9.jpg","Market Fare Peas, Carrots & Corn 1kg"
"","1kg","$2.79","$2.79 per kg","https://www.aldi.com.au/fileadmin/_processed_/f/0/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128_5_ef2f28832d.jpg","Market Fare Green Frozen Beans 1kg"
"","500g","$2.99","$5.98 per kg","https://www.aldi.com.au/fileadmin/_processed_/c/b/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128_6_e7949ebbff.jpg","Market Fare Broccoli 500g"
"","250g","89","$3.56 per kg","https://www.aldi.com.au/fileadmin/_processed_/a/d/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128_7_112e57f343.jpg","Market Fare Frozen Spinach 250g"
"","1kg","$4.19","$4.19 per kg","https://www.aldi.com.au/fileadmin/_processed_/1/8/csm_ALN3354_Q2-WEB-AUDIT_1x1_228x128_23_fa84af8a9c.jpg","Market Fare Winter Vegetables 1kg"
"","850g","$4.29","$5.05 per kg","https://www.aldi.com.au/fileadmin/_processed_/d/3/csm_ALN2853_FROZEN_FOOD_1x1_228x128_2_87012b7979.jpg","Market Fare Frozen Stir Fry Vegetables 850g"
"","ea","$6.99","$8.74 per kg","https://www.aldi.com.au/fileadmin/_processed_/b/6/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128_8_9167884696.jpg","Market Fare Cauliflower Bake or Broccoli Bake 800g"
"","365g","$6.49","$1.78 per 100g","https://www.aldi.com.au/fileadmin/_processed_/f/5/csm_ALN2626_MARGHERITA_PIZZA_1x1_228x128_8650b67446.jpg","The Best Margherita Frozen Pizza Ever 365g"
"","2kg","$11.99","60c per 100g","https://www.aldi.com.au/fileadmin/_processed_/9/5/csm_ALN3708_Q4-WEB_NEW-1x1_228x128_14_cf2406d809.jpg","International Cuisine Beef Lasagne 2kg"
"","500g","$5.69","$11.38 per kg","https://www.aldi.com.au/fileadmin/_processed_/d/8/csm_ALN2364_FROZEN_FOOD_1x1_228x128_3_a59abf39c7.jpg","Orchard & Vine Frozen Blueberries 500g"
"","475ml","$6.99","$1.47 per 100ml","https://www.aldi.com.au/fileadmin/_processed_/8/a/csm_ALN2853_FROZEN_FOOD_1x1_228x128_8_9f7343f381.jpg","Kenny’s Frozen Dessert 475ml"
"","800g","$6.99","$8.74 per kg","https://www.aldi.com.au/fileadmin/_processed_/6/b/csm_1002370-4_Q3_WEB_AUDIT_1x1_228x128_56_RET_d1b36f1371.png","Market Fare Potato Bake 800g"
"","350g","$1.99","$5.69 per kg","https://www.aldi.com.au/fileadmin/_processed_/e/3/csm_1002781_REDUCTIONS_R14_01_1x1_701138a_RET_c800f17acd.jpg","Deli Originals Baby Cucumbers 350g"
"","5pk","$2.99","$2.74 per 100g","https://www.aldi.com.au/fileadmin/_processed_/0/2/csm_1002781_REDUCTIONS_R16_01_1x1_714063a_RET_921b7848f5.jpg","Popdots Triple Choc Pop Dots 5pk/109g"
"","ea","$3.69","$28.38-$21.71 per kg","https://www.aldi.com.au/fileadmin/_processed_/0/d/csm_1002781_REDUCTIONS_R16_03_1x1_63334a_RET_5b13c9ed93.jpg","Sweet Vine Sweetened Dried Mango Slices 130g/170g"
"","6pk","$3.99","38c per 100 sheets","https://www.aldi.com.au/fileadmin/_processed_/4/a/csm_1002781_REDUCTIONS_R16_05_1x1_708962a_RET_b377424c6f.jpg","Confidence King Size with Shea Butter Toilet Tissue 3ply 6pk"
"","500g","$7.49","$14.98 per kg","https://www.aldi.com.au/fileadmin/_processed_/1/6/csm_1002781_REDUCTIONS_R16_07_1x1_63530a_RET_be0bdcf1a6.jpg","Specially Selected Grass Fed Angus Beef Sausages 500g"
"","500g","$2.79","$5.58 per kg","https://www.aldi.com.au/fileadmin/_processed_/5/c/csm_1002781_REDUCTIONS_R16_09_1x1_46890a_RET_9dccb651ab.jpg","Berg Hot Dog Frankfurts 500g"
"","500g","$2.79","$5.58 per kg","https://www.aldi.com.au/fileadmin/_processed_/8/7/csm_1002781_REDUCTIONS_R16_11_1x1_46894a_RET_b16d4e6ee8.jpg","Berg Cocktail Frankfurts 500g"
"","300g","$6.79","$2.26 per 100g","https://www.aldi.com.au/fileadmin/_processed_/d/b/csm_1002781_REDUCTIONS_R16_13_1x1_709366a_RET_625a84b0e6.jpg","Goldenvale Paleo Granola 300g"
"","185g","$1.79","$10.76 per kg","https://www.aldi.com.au/fileadmin/_processed_/b/3/csm_1002781_REDUCTIONS_R15_01_1x1_827249a_RET_b89da663a9.jpg","Portview Tuna Chunks 185g"
"","500g","$6.49","$12.98 per kg","https://www.aldi.com.au/fileadmin/_processed_/9/5/csm_1002781_REDUCTIONS_R15_04_1x1_709193a_RET_84e184d90a.jpg","Westacre Dairy Light Tasty Shredded Cheese 500g"
"","1L","$2.29","$2.29 per litre","https://www.aldi.com.au/fileadmin/_processed_/a/9/csm_1002781_REDUCTIONS_R13_1x1_228x128_1_RET_1938099c1b.png","Inner Goodness Unsweetened Almond Milk Organic 1L"
"","700g","$8.99","$12.84 per kg","https://www.aldi.com.au/fileadmin/_processed_/a/6/csm_1002781_REDUCTIONS_R13_1x1_228x128_2_RET_bdbd97c7b3.png","Westacre Dairy Tasty Shredded Cheese 700g"
"","100g","95","95c per 100g","https://www.aldi.com.au/fileadmin/_processed_/7/6/csm_1002781_REDUCTIONS_R13_1x1_228x128_3_RET_02cfacad1f.png","Julius Gold Premium Dog Food Meaty Beef Loaf Style 100g"
